Category,Description,NutrientDataBankNumber,Carotene,Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,SugarTotal,Water,MonosaturatedFat,PolysaturatedFat,SaturatedFat,Total Lipid,Calcium,Copper,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Vitamin_A,Vitamin_B12,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K
Kale,"Kale, fresh, cooked, no added fat",72119211,2923,27,4.74,0,0.5,4.4,6375,0,1.202,3.13,0,0.353,1,0.86,88.53,0.111,0.721,0.191,1.6,272,0.057,1.72,35,59,373,181,0.42,245,0,0.15,70.1,0.109,0.71,418.1
Kale,"Kale, frozen, cooked, no added fat",72119212,1725,26,5.28,0,0.5,2.3,4965,0,0.456,2.93,0,0.14,1,1.12,89.53,0.092,0.595,0.158,1.21,150,0.067,0.84,25,42,144,132,0.27,146,0,0.063,17.7,0.063,1.6,416.8
Kale,"Kale, canned, cooked, no added fat",72119213,3545,0,2.79,0,0.3,1.3,6539,0,0.357,1.35,0,0.06,0.7,0.42,93.94,0.02,0.119,0.069,0.3,117,0.082,1.5,20,21,140,336,0.23,296,0,0.04,14.6,0.01,1.46,284.7
Kale,"Kale, NS as to form, cooked",72119220,2843,27,4.61,2,0.8,4.3,6190,0,1.167,3.05,11,0.344,0.9,0.83,86.09,1.11,1.534,0.96,4.28,265,0.055,1.67,34,58,363,186,0.41,250,0,0.163,68.1,0.106,1,408.5
Kale,"Kale, fresh, cooked, fat added",72119221,2843,27,4.61,2,0.8,4.3,6190,0,1.167,3.05,11,0.344,0.9,0.83,86.09,1.11,1.534,0.96,4.28,265,0.055,1.67,34,58,363,186,0.41,250,0,0.163,68.1,0.106,1,408.5
Kale,"Kale, frozen, cooked, fat added",72119222,1680,25,5.14,2,0.7,2.2,4821,0,0.443,2.85,10,0.136,1,1.08,87.26,1.021,1.353,0.874,3.71,146,0.065,0.82,24,41,140,138,0.26,152,0,0.077,17.2,0.061,1.85,407
Kale,"Kale, canned, cooked, fat added",72119223,3447,0,2.71,2,0.5,1.3,6350,0,0.347,1.32,10,0.058,0.7,0.4,91.55,0.947,0.887,0.785,2.81,114,0.08,1.46,19,21,136,336,0.22,298,0,0.055,14.2,0.01,1.71,278.8
Lambsquarter,"Lambsquarter, cooked",72120220,4543,0,4.85,2,0.7,2,1798,0,0.872,3.11,10,0.252,0.9,0.6,86.39,1.059,1.072,0.771,3.21,250,0.191,0.68,22,44,279,150,0.29,389,0,0.185,35.8,0.097,2.09,480.8
Mustard cabbage,"Mustard cabbage, cooked",72121211,2656,0,2.28,2,6.9,1,40,0,0.495,1.57,11,0.07,0.5,1.23,92.05,1.018,0.934,0.803,2.94,110,0.022,0.84,20,39,263,199,0.2,232,0,0.209,32.8,0.038,0.41,49.9
Mustard greens,"Mustard greens, raw",72122100,1790,40,4.67,0,0.5,3.2,3730,0,0.8,2.86,0,0.11,0.9,1.32,90.7,0.092,0.038,0.01,0.42,115,0.165,1.64,32,58,384,20,0.25,151,0,0.18,70,0.08,2.01,257.5
